Homogeneity,Mean,Energy,Correlation,Contrast,Output
0.957804075,25.06337484,0.459959538,0.921072758,0.144515931,0
0.982685538,12.32425944,0.691010537,0.91763683,0.061810662,0
0.983033252,11.96759542,0.694255977,0.908557036,0.062576593,0
0.981868015,12.59451294,0.684130858,0.911023003,0.067830882,0
0.985619766,10.84007263,0.713799202,0.911320056,0.052665441,0
0.952631667,37.82429504,0.387531664,0.940700648,0.209620098,0
0.95108237,39.46580505,0.370311395,0.945246466,0.20010723,0
0.953061172,38.84168498,0.370952386,0.943997707,0.194914216,0
0.956527012,23.62396749,0.47979185,0.916251208,0.149969363,0
0.956166915,28.77699788,0.477956223,0.928507867,0.184313725,0
0.955699222,28.06929016,0.477195476,0.926619639,0.182015931,0
0.954861549,28.08650716,0.477581534,0.925627591,0.184221814,0
0.954207553,28.49567159,0.470077664,0.927246367,0.181801471,0
0.933322537,41.87307739,0.287389998,0.876620741,0.383823529,0
0.926504399,31.1868337,0.389019138,0.793060246,0.626317402,0
0.971081641,27.99793498,0.476057241,0.940437515,0.144056373,0
0.969068409,27.10246785,0.487554814,0.937805525,0.146997549,0
0.969731669,28.74353027,0.465326715,0.93956899,0.149080882,0
0.966736366,29.90385437,0.445542148,0.938938237,0.155315564,0
0.975532067,22.03931173,0.516743773,0.94090573,0.102083333,0
0.974451593,22.51357524,0.511488427,0.938337803,0.108547794,0
0.95074992,56.68479411,0.238419511,0.937313128,0.295955882,0
0.939497002,68.24702962,0.200512421,0.928386384,0.465242034,0
0.946956043,63.74293009,0.225252725,0.934244903,0.399417892,0
0.925793414,91.40237935,0.138851364,0.947913073,0.393244485,0
0.9398664,50.2559611,0.291080923,0.903782229,0.506341912,0
0.925538942,92.35097249,0.134547857,0.946479042,0.392876838,0
0.927454081,91.30243937,0.137683365,0.947319645,0.404947917,0
0.966452133,17.24552917,0.56642116,0.790237536,0.298651961,0
